fit_mean,mu,weight
2.4110152801212847,9.398496414083511e-05,0.0035516145103370394
2.4424420589484828,9.647682636806147e-05,0.0032614039467927947
2.4201862108376115,9.746297490043784e-05,0.0036861711811725577
2.3416110058234443,9.709589848500637e-05,0.005142965007287378
2.471438354344858,9.822205576716385e-05,0.003530004625887647
2.4603442766456185,9.331117548454011e-05,0.0029440152898890315
2.399622332633662,9.313203265227792e-05,0.0035681071823100642
2.4893457177669354,9.119699259722639e-05,0.003832116564420201
2.256529624815747,9.509758518533843e-05,0.0047043027971169875
2.4625589928367613,9.955195490119671e-05,0.003662599666408122
2.4440158441777737,9.367075266653896e-05,0.003057962916403141
2.4775135299314255,9.61059748603941e-05,0.003413562082398685
2.3188364946646036,9.542542342928712e-05,0.004616473983843116
2.4560052661590084,9.64188242165582e-05,0.0031201851446519256
2.324790250121861,9.942046573963316e-05,0.00582279280717446
2.4525751426691644,8.768599654907788e-05,0.0032209146057370734
2.325476798596116,8.292592126962859e-05,0.008593339831890272
2.461650910330733,9.867657535374952e-05,0.003460690567814589
2.487384488406668,9.517840900340749e-05,0.003947690736722226
2.476144219540687,8.500193012672863e-05,0.003668810119198754
2.458833062313048,9.831184523715186e-05,0.0033834714243803207
2.4226328855580026,9.623562393306484e-05,0.003542027584840547
2.170021848102451,9.043679644344338e-05,0.008850004136920398
2.318814505055834,9.5023740033361e-05,0.0045777093075708855
2.482830363931739,8.929362585694282e-05,0.0034470729445250678
2.414670939945461,9.647219028812551e-05,0.003607818284304608
2.3908226788587137,9.202795195954287e-05,0.0036422617755354904
2.4638248277026444,6.709395567452723e-05,0.022440792308224843
2.486929841538663,8.825729942560468e-05,0.0037245855120411724
2.234009283523097,8.748288146578562e-05,0.006026297776487369
2.4739771781447524,8.750848507299759e-05,0.0033337174913593013
2.2317490826789212,8.039750729651374e-05,0.009508626362646608
2.1739031791642422,9.96461843051747e-05,0.013535008647943722
2.47613899901824,8.711883521849817e-05,0.0034107002310039534
2.404953720769094,9.157606921289893e-05,0.0037014965262801183
2.3549796391186346,9.361337114420725e-05,0.004409822320105375
2.487164480690932,9.384361785704107e-05,0.003774758268363693
2.3171490946667603,8.443417839158134e-05,0.007352320884623283
2.3282753954381312,8.909812792229988e-05,0.005201960761072043
2.3858089214744966,9.918743254914946e-05,0.004450637478522435
2.4637903258052902,8.434269419586088e-05,0.0036535372384864343
2.4927152723663153,9.004122103295835e-05,0.004172377617116594
2.315455452217335,9.890685543143782e-05,0.00537065573251931
2.3511368096033394,9.388670218973801e-05,0.004503993395161772
2.1957282607769413,9.53121707492023e-05,0.008324432195592745
2.373713869655382,8.382499057537156e-05,0.005863964472262088
2.4020407630190324,9.231105191494983e-05,0.003622202647797472
2.4302496876018758,9.952459096191404e-05,0.003999461411547211
2.4466576240426985,8.221513248751832e-05,0.004322650397180568
2.3603812415032492,9.247323811982948e-05,0.004255431165046483
2.4906762021108477,8.871356166791283e-05,0.003991543849535793
2.196101654627835,9.682234932936513e-05,0.00905760422713746
2.373419842173237,9.963103231369878e-05,0.005167868419931837
2.4873761998436406,9.64395894315245e-05,0.004163923594597588
2.458393771615201,9.794661925650769e-05,0.003320248241895268
2.406667046086897,9.803650114548074e-05,0.0038147681156077604
2.4246255179209033,9.199341872442278e-05,0.003524286004770058
2.321237082703378,9.075901159340595e-05,0.004798561815757599
2.32986492081466,8.884529869577447e-05,0.005272033930262815
2.1053786446484115,8.81701485085266e-05,0.014608266603407706
2.3170295041075653,8.637022456518764e-05,0.006217353912257926
2.4760591130710825,9.635002996685442e-05,0.0033853977069183516
2.3908492731947337,9.173467984959695e-05,0.0036629297800164114
2.405505875033131,8.4398890401922e-05,0.005507854506734706
2.467263836427638,9.403498675815846e-05,0.0030080321438786255
2.401174169758535,9.63522743432526e-05,0.0036294018168884635
2.46137297240153,8.367975542062121e-05,0.003763611672385045
2.320193107679896,9.218251825860027e-05,0.004602590316919355
2.4521718523324014,9.755875385406758e-05,0.003286119487352799
2.0858563887008676,9.198974069056466e-05,0.012705232108287185
2.302196737112813,9.129106255194238e-05,0.004520069793126349
2.2426346357435656,9.695551918545363e-05,0.005621170003958617
2.3699577865214563,9.032380223346542e-05,0.004128922608665298
2.492331636504641,8.278667459352354e-05,0.004833049401779783
2.4505825176969482,9.016295536938288e-05,0.0030393967936239623
2.459736708658393,9.487475955614198e-05,0.002996035550060943
2.421185306483004,9.325637571668059e-05,0.003512011425788723
2.481868731795773,9.40483425552147e-05,0.003426747430524289
2.4381913947674883,9.299370529946345e-05,0.0031619712279990775
2.4317111271318277,7.956853678654254e-05,0.00664992279985813
2.37738541640182,9.263567596761725e-05,0.00380271021357556
2.4270851245930696,9.93476283533457e-05,0.003987182054357477
2.3619624855869894,8.56074770594006e-05,0.005559792027014253
2.3175899605191272,9.360232557244413e-05,0.004509803513218335
2.4391077683214895,9.75214774089704e-05,0.00345360484939926
2.4519408612668037,8.909530452780349e-05,0.0030981488814087787
2.49181418854917,8.77283876737098e-05,0.004156719212739132
2.170329582933152,9.116928203906662e-05,0.008805623640164819
2.3929185760615233,8.94041432912687e-05,0.003944709621842652
