fit_mean,mu,weight
1.4340215679246973,4.8204397083786785e-05,0.009114053676042249
1.595229692072172,4.970350892890494e-05,0.006837553793121042
1.49433928288937,4.77390619940987e-05,0.0041472334483288594
1.5203561967019212,4.7350248880670954e-05,0.004749604013076207
1.5618475899087716,4.7679561685937144e-05,0.0033687539916574132
1.5787070898999853,4.9962563067751286e-05,0.004488232006205725
1.5945564403316543,3.924509676698186e-05,0.0062237683550837595
1.512197926819268,4.9685550753847086e-05,0.005801278719662985
1.4956021195090576,4.652486371533997e-05,0.004070842146311549
1.534290902561379,4.596564660678843e-05,0.004315893329112012
1.5733955771411998,4.8421481848020064e-05,0.0035474734002154482
1.5570743133112979,4.0516385203246114e-05,0.004039244645105972
1.4804773284073527,4.748491644974241e-05,0.004555581794442331
1.4277304796683437,4.744129144708728e-05,0.010034251037818966
1.5410189143639337,3.757993120601621e-05,0.0056876048075495365
1.565786379620765,4.59211003220528e-05,0.0032575889903162644
1.483653788754239,4.694807055052139e-05,0.004455410860663662
1.53667437942675,3.873503604386844e-05,0.006687243819726334
1.4746030127849667,3.7809625090652766e-05,0.04701250467255072
1.564775493793214,4.003119476583864e-05,0.0048050130186650525
1.531372982605704,4.407735179933447e-05,0.004898039222343947
1.5797106476353084,4.3095113375378645e-05,0.003781821674768844
1.593977273777144,3.689881694311986e-05,0.007980364410459575
1.5535641420766058,4.648922322622358e-05,0.0034490204530563755
1.4795071302325054,4.85876163992204e-05,0.004733608951157449
1.5254392406692845,4.697403053698782e-05,0.004879619549096241
1.5591155315399177,4.770468926632697e-05,0.003497705734817356
1.5669503464724885,4.812868204689162e-05,0.003289823310970277
1.5037373974194475,4.790093456327712e-05,0.004261281755102549
1.4976030733837786,4.6073152214197576e-05,0.004067961058519986
1.5673321747692202,4.0739701734626256e-05,0.004559424532911379
1.5609642637003867,3.427925580301491e-05,0.00859416410914743
1.5629011537544584,4.726331182154723e-05,0.0032990804250164762
1.5689801709981552,4.582542603925318e-05,0.003272278106044137
1.5177801230689087,4.950373093815779e-05,0.005802424574855387
1.574203050769116,4.748388875513368e-05,0.0034647961813626333
1.5408942145673488,4.8820377826639614e-05,0.004031704129336717
1.5683880843554374,3.7438329761605835e-05,0.00695425180775264
1.584197508756798,4.906690101716608e-05,0.004547351432332976
1.5222130606339066,4.6199965042317e-05,0.00464185233018507
1.5339272527253989,4.2824216335354546e-05,0.004958653733754653
1.468349984312574,4.693230909704092e-05,0.0053948023730506075
1.553248214256577,4.8843917088114095e-05,0.0040249228378467245
1.5722262129732816,4.577410513148936e-05,0.003341447384337465
1.5880357049410696,4.234585719609713e-05,0.004154392707593547
1.4689629619346614,4.943825238599379e-05,0.0058237246921064014
1.551980759217331,4.716578739245684e-05,0.0035430352426321014
1.5916126748431287,4.766968524854107e-05,0.00473294969419326
1.5576208821233484,4.326396039257203e-05,0.003545365842843881
1.4958361284809896,4.557639792990182e-05,0.00422671708169832
1.4659447804646475,4.987932584399958e-05,0.006478892003771385
1.5467983424662,4.099228010632071e-05,0.0035411290257606823
1.5839794178247881,4.3800134466539534e-05,0.0037811223873414506
1.5010102656624196,4.3709791809545656e-05,0.004634628301819246
1.5944269578062882,4.081219252872283e-05,0.005401956527180739
1.4946165758248369,4.996144593130712e-05,0.005382975269502072
1.5453643906930925,3.60475369207458e-05,0.005327171926267166
1.572202657833432,4.489180096696493e-05,0.0034119369601633798
1.531129690494124,4.8237721112262086e-05,0.004900654997242044
1.4650343885870372,4.9464188261746036e-05,0.00618422351335829
1.5709816980310964,4.82605644621936e-05,0.0033928823972033963
1.5374147693758873,4.5050729192475327e-05,0.0039375924236646175
1.4859181926458211,4.830010617736767e-05,0.004411030835651521
1.5465992232733172,4.950746516205214e-05,0.004244047915079964
1.5684434113950372,4.373022424261945e-05,0.003565474090555545
1.5166063056080246,4.63587349012141e-05,0.004313060137180529
1.5050303803065026,4.249400547923641e-05,0.0049365827985208485
1.507004013107442,4.511824264023148e-05,0.0040033589205080945
1.5988426776721198,4.7021802163522045e-05,0.0066519626276459656
1.5420140122551946,3.897116985548588e-05,0.004684349288767985
1.5639211857817765,4.488579309331038e-05,0.00337158158166918
1.5058051867097897,4.7565318895341336e-05,0.004194362752316295
1.561778052562457,4.770587247419233e-05,0.0033743042603640175
1.4918492685914626,4.7017565259567656e-05,0.004136939760333803
1.4913982859077597,4.62427579784388e-05,0.0042486097992790565
1.5648249274619015,4.7961179337794374e-05,0.003296952415468896
1.5428385854957019,4.872920159568825e-05,0.003916414748832241
1.5440535248271652,4.392579893444763e-05,0.003318822694093295
1.4554492652850126,4.862706006363299e-05,0.006560193730284334
1.577683019896965,4.275047797214888e-05,0.003833198637735012
1.5116500400201973,4.892208924460575e-05,0.005093986163088125
1.5136401907141737,4.27081919887342e-05,0.004483695699020996
1.557202427308934,4.263732050993137e-05,0.0036178195365751597
1.5510881544853838,4.9120576396946005e-05,0.004152707318098244
1.5605159600352847,4.822895021864867e-05,0.003505757013909346
1.4174973894461294,4.773955641269961e-05,0.012217967434728754
1.5209667442816563,4.714482488271261e-05,0.004729245474920869
1.5994578259611953,4.5049020062568816e-05,0.006360341513338797
1.5845912566851987,4.9722277783470016e-05,0.004896644557899394
1.5413416841243,4.725829061705716e-05,0.003624487075417422
1.5574194454313746,4.005722350662307e-05,0.0041923936908807935
1.525430813964926,4.5900827118799176e-05,0.00478554156939116
1.5891384613487076,4.3705158624709846e-05,0.004045808082591753
1.5509531195640793,4.679392240004875e-05,0.0034560396642883415
1.5297043122456047,4.3881577166385244e-05,0.005055096627746046
1.5892747262925015,4.336393539920115e-05,0.004088581778612557
1.54245687596927,4.562909386039963e-05,0.003396281572483425
1.5015930230316648,4.748644536469476e-05,0.004104671896515532
1.5560105247640772,4.8839935669807175e-05,0.00392156507143864
1.5480701043865333,4.419157670927488e-05,0.003210093329742082
1.57636548418316,3.780044336804426e-05,0.00647532275787551
1.5830664590948247,4.796001812641084e-05,0.004090327000625257
1.4725431526743897,4.819515410098454e-05,0.005045593340766096
1.5387531680989195,4.374111038707906e-05,0.003897675708691638
1.5400267427915368,4.427644401900714e-05,0.003658547462010438
1.506071544238125,4.974085520392619e-05,0.005618266781261981
1.5282458848759077,4.2758288499650005e-05,0.005458688244461768
1.5239563768570945,4.3586713301436294e-05,0.004930425764110121
1.5115437850164881,4.602640725138764e-05,0.004051761204518302
1.5564929414995317,4.254884648743805e-05,0.0035982828044200856
1.5517583578447507,4.8998233126605186e-05,0.004101319451200163
1.5931844813682692,3.794738208400882e-05,0.0068013232927948844
1.508035681551779,4.846092966854278e-05,0.004648726059400616
1.53384896784925,3.841484700776066e-05,0.008444053547593896
1.430399402686511,4.9821165843797004e-05,0.011598368579894262
1.5433341264200287,4.1420708478561916e-05,0.0037144200445612193
1.549880931467234,3.845094094486805e-05,0.004075207059250851
1.5342524231742558,4.677289004752849e-05,0.004333567797983352
1.5742168204939966,4.685465788565247e-05,0.0034165423375103203
1.5097121015426325,4.651064415419163e-05,0.004056192430446012
1.563026473330939,4.6076693852535165e-05,0.003288219057559787
1.5760119555127228,4.766396700070309e-05,0.003594355370337543
1.5109222473707642,4.409345208634081e-05,0.004126702632738183
1.5038318858733246,4.564176619227569e-05,0.003988547034092225
1.4969358275725544,4.4026620509407204e-05,0.004798591481517498
1.5586617828195863,4.762649894467568e-05,0.0035076084674704176
1.4587498220954873,4.789515617679268e-05,0.006059081039943673
1.5124739021682456,4.874811197158699e-05,0.00500525386749319
1.5627934957093341,4.752047865639461e-05,0.003318817466554306
1.5521138085534698,4.863838997595661e-05,0.003957911397672313
1.5667210153340099,4.9121035079210444e-05,0.0034411153892560317
1.5484517949681766,3.794399091373515e-05,0.004233701133148314
1.5420810581986701,4.249102959139964e-05,0.0036519060820316544
1.5710494393521266,4.807860084010618e-05,0.0033726514624985984
1.5289678341439341,4.886615744656307e-05,0.005294393105328899
1.5852907027583145,4.357257775133264e-05,0.0038456143131657423
1.546104845725604,4.28235986239743e-05,0.0033099689449159644
1.5131741459464223,4.979628359172389e-05,0.005955849682892873
1.5683615251773158,4.600780723907548e-05,0.003254417899841576
1.5201553287454215,4.244597351174228e-05,0.004916810859966116
1.5403431176931353,4.7250964735002764e-05,0.0036961590494806254
1.4640299822446587,4.8377150068404624e-05,0.005704968981784458
